SRV_STD;WC200_DST_SRV_RATE;WC200_DST_SERR_RATE;WC200_DST_RERR_RATE;WC200_SRV_SRC_RATE;WT10_DST_SRV_RATE;MAP_SRC_INIT_HAS_A;MAP_SRC_INIT_HAS_F;MAP_SRC_INIT_HAS_S;MAP_SRC_INIT_HAS_R;MAP_SRC_INIT_HAS_P;MAP_SRC_INIT_HAS_C;MAP_SRC_INIT_HAS_U;MAP_SRC_INIT_HAS_E;STATE_SF;MAP_WC200_DST_CNT;MAP_WC200_SRV_CNT;MAP_WT10_DST_CNT;MAP_WT10_SRV_CNT;MAP_SRC_BYTES;IS_NA;IS_AS;IS_DBC;IS_FT;IS_HTTP;IS_MI;IS_MM;IS_NW;IS_RA;IS_UK
NA;0.18;0;0.275;0.2;0.148;0;0;0;0;0;0;0;0;1;1;1;1;1;8,93E-03;1;0;0;0;0;0;0;0;0;0
NA;0.19;0;0.27;0.21;0.152;0;0;0;0;0;0;0;0;1;1;1;1;1;8,93E-03;1;0;0;0;0;0;0;0;0;0
HTTP;0.39;0;0.155;0;0.374;0;0;1;0;0;0;0;0;1;1;1;1;1;1,81E-02;0;0;0;0;1;0;0;0;0;0
HTTP;0.39;0;0.155;0;0.376;0;0;1;0;0;0;0;0;1;1;1;1;1;1,78E-01;0;0;0;0;1;0;0;0;0;0
HTTP;0.205;0;0.155;0;0.3;0;0;1;0;0;0;0;0;1;1;1;1;1;1,85E-01;0;0;0;0;1;0;0;0;0;0
HTTP;0.205;0;0.155;0;0.3;0;0;1;0;0;0;0;0;1;1;1;1;1;1,80E-01;0;0;0;0;1;0;0;0;0;0
NA;0.22;0;0.275;0.235;0.164;0;0;0;0;0;0;0;0;1;1;1;1;1;1,35E-01;1;0;0;0;0;0;0;0;0;0
NW;0.005;0.005;0.24;0;0.004;0;0;0;0;0;0;0;0;1;1;1;1;1;7,05E-03;0;0;0;0;0;0;0;1;0;0
HTTP;0.015;0;0.2;0;0.006;0;0;1;0;0;0;0;0;1;1;1;1;1;3,14E-01;0;0;0;0;1;0;0;0;0;0
NA;0.405;0.01;0.2;0.4;0.238;0;0;0;0;0;0;0;0;1;1;1;1;1;1,33E-01;1;0;0;0;0;0;0;0;0;0
HTTP;0.3;0;0.205;0;0.37;0;0;1;0;0;0;0;0;1;1;1;1;1;1,78E-01;0;0;0;0;1;0;0;0;0;0
HTTP;0.005;0;0.21;0.32;0.012;1;0;1;0;0;0;0;0;1;1;1;1;1;1,79E-01;0;0;0;0;1;0;0;0;0;0
AS;0;0;0.215;0;0;1;1;0;0;0;0;0;0;1;1;1;1;1;4,91E-03;0;1;0;0;0;0;0;0;0;0
AS;0.01;0;0.22;0.005;0.006;1;1;0;0;0;0;0;0;1;1;1;1;1;4,91E-03;0;1;0;0;0;0;0;0;0;0
NW;0.005;0.005;0.13;0;0.002;0;0;0;0;0;0;0;0;1;1;1;1;1;7,05E-03;0;0;0;0;0;0;0;1;0;0
HTTP;0.005;0.005;0.13;0.27;0.038;1;0;0;0;0;0;0;0;1;1;1;1;1;4,91E-03;0;0;0;0;1;0;0;0;0;0
AS;0.01;0;0.225;0.005;0.004;1;1;0;0;0;0;0;0;1;1;1;1;1;4,91E-03;0;1;0;0;0;0;0;0;0;0
HTTP;0.265;0;0.26;0;0.352;0;0;1;0;0;0;0;0;1;1;1;1;1;1,81E-02;0;0;0;0;1;0;0;0;0;0
NA;0.46;0.01;0.155;0.395;0.26;0;0;0;0;0;0;0;0;1;1;1;1;1;8,93E-03;1;0;0;0;0;0;0;0;0;0
FT;0.005;0.01;0.14;0;0.004;0;0;1;0;0;0;0;0;1;1;1;1;1;1.9E-07;0;0;0;1;0;0;0;0;0;0
AS;0.005;0;0.275;0.005;0.002;0;0;1;0;0;0;0;0;1;1;1;1;1;5,33E-01;0;1;0;0;0;0;0;0;0;0
HTTP;0.005;0;0.29;0;0.038;0;0;1;0;0;0;0;0;1;1;1;1;1;3,96E-01;0;0;0;0;1;0;0;0;0;0
AS;0.01;0;0.3;0.035;0.004;0;0;0;1;0;0;0;0;1;1;1;1;1;4,91E-03;0;1;0;0;0;0;0;0;0;0
