SRV_STD;WC200_DST_SRV_RATE;WC200_DST_SERR_RATE;WC200_DST_RERR_RATE;WC200_SRV_SRC_RATE;WT10_DST_SRV_RATE;MAP_SRC_INIT_HAS_A;MAP_SRC_INIT_HAS_F;MAP_SRC_INIT_HAS_S;MAP_SRC_INIT_HAS_R;MAP_SRC_INIT_HAS_P;MAP_SRC_INIT_HAS_C;MAP_SRC_INIT_HAS_U;MAP_SRC_INIT_HAS_E;STATE_SF;MAP_WC200_DST_CNT;MAP_WC200_SRV_CNT;MAP_WT10_DST_CNT;MAP_WT10_SRV_CNT;MAP_SRC_BYTES;IS_NA;IS_AS;IS_DBC;IS_FT;IS_HTTP;IS_MI;IS_MM;IS_NW;IS_RA;IS_UK
HTTP;0.645;0;0.18;0;0.45;0;0;1;0;0;0;0;0;1;1;1;1;1;1.80E-01;0;0;0;0;1;0;0;0;0;0
HTTP;0.655;0;0.17;0;0.456;0;0;1;0;0;0;0;0;1;1;1;1;1;1.81E-02;0;0;0;0;1;0;0;0;0;0
HTTP;0.79;0;0.075;0;0.494;0;0;1;0;0;0;0;0;1;1;1;1;1;1.80E-01;0;0;0;0;1;0;0;0;0;0
HTTP;0.84;0;0.035;0;0.512;0;0;1;0;0;0;0;0;1;1;1;1;1;1.81E-02;0;0;0;0;1;0;0;0;0;0
HTTP;0.845;0;0.03;0;0.516;0;0;1;0;0;0;0;0;1;1;1;1;1;1.79E-01;0;0;0;0;1;0;0;0;0;0
HTTP;0.85;0;0.03;0;0.532;0;0;1;0;0;0;0;0;1;1;1;1;1;1.81E-02;0;0;0;0;1;0;0;0;0;0
AS;0.005;0;0.395;0;0.01;0;0;1;0;0;0;0;0;1;1;1;1;1;5.42E-01;0;1;0;0;0;0;0;0;0;0
AS;0.01;0;0.425;0;0.008;0;0;1;0;0;0;0;0;1;1;1;1;1;4.66E-01;0;1;0;0;0;0;0;0;0;0
HTTP;0.775;0;0.075;0;0.526;0;0;1;0;0;0;0;0;1;1;1;1;1;1.81E-02;0;0;0;0;1;0;0;0;0;0
MM;0;0;0.445;0;0;0;0;1;0;0;0;0;0;1;1;1;1;1;2.01E-01;0;0;0;0;0;0;1;0;0;0
AS;0;0;0.445;0;0.008;0;0;1;0;0;0;0;0;1;1;1;1;1;5.60E-01;0;1;0;0;0;0;0;0;0;0
HTTP;0.77;0;0.075;0;0.53;0;0;1;0;0;0;0;0;1;1;1;1;1;1.81E-02;0;0;0;0;1;0;0;0;0;0
HTTP;0.77;0;0.075;0;0.532;0;0;1;0;0;0;0;0;1;1;1;1;1;1.81E-02;0;0;0;0;1;0;0;0;0;0
HTTP;0;0;0.08;0;0;0;0;1;0;0;0;0;0;1;1;1;1;1;3.11E-01;0;0;0;0;1;0;0;0;0;0
AS;0;0;0.085;0;0.002;0;0;1;0;0;0;0;0;1;1;1;1;1;5.56E-01;0;1;0;0;0;0;0;0;0;0
HTTP;0;0;0.425;0;0;0;0;1;0;0;0;0;0;1;1;1;1;1;5.51E-02;0;0;0;0;1;0;0;0;0;0
AS;0;0;0.445;0;0;0;0;1;0;0;0;0;0;1;1;1;1;1;6.35E-01;0;1;0;0;0;0;0;0;0;0
HTTP;0;0;0.11;0.03;0.002;1;0;0;0;1;0;0;0;1;1;1;1;1;2.16E-02;0;0;0;0;1;0;0;0;0;0
HTTP;0.005;0;0.115;0.035;0.002;1;0;1;0;0;0;0;0;1;1;1;1;1;1.36E-02;0;0;0;0;1;0;0;0;0;0
AS;0;0;0.115;0;0.002;0;0;1;0;0;0;0;0;1;1;1;1;1;5.46E-01;0;1;0;0;0;0;0;0;0;0
AS;0;0;0.12;0;0.002;0;0;1;0;0;0;0;0;1;1;1;1;1;6.79E-01;0;1;0;0;0;0;0;0;0;0
AS;0;0;0.13;0;0.004;0;0;1;0;0;0;0;0;1;1;1;1;1;5.56E-01;0;1;0;0;0;0;0;0;0;0
AS;0;0;0.145;0;0.002;0;0;1;0;0;0;0;0;1;1;1;1;1;5.44E-01;0;1;0;0;0;0;0;0;0;0
AS;0.03;0;0.14;0.04;0.042;0;0;0;1;0;0;0;0;1;1;1;1;1;4.91E-03;0;1;0;0;0;0;0;0;0;0
HTTP;0;0;0.14;0;0.004;0;0;1;0;0;0;0;0;1;1;1;1;1;2.93E-02;0;0;0;0;1;0;0;0;0;0
DBC;0.005;0;0.43;0;0.002;1;0;0;0;1;0;0;0;1;1;1;1;1;1.06E-02;0;0;1;0;0;0;0;0;0;0
DBC;0.005;0;0.41;0.005;0.002;1;0;0;0;0;0;0;0;1;1;1;1;1;3.33E-02;0;0;1;0;0;0;0;0;0;0
UK;0;0;0.145;0;0;0;0;1;0;0;0;0;0;1;1;1;1;1;3.85E-01;0;0;0;0;0;0;0;0;0;1
HTTP;0.005;0;0.145;0;0.002;0;0;1;0;0;0;0;0;1;1;1;1;1;2.69E-02;0;0;0;0;1;0;0;0;0;0
UK;0.005;0;0.145;0;0.002;0;0;1;0;0;0;0;0;1;1;1;1;1;3.90E-01;0;0;0;0;0;0;0;0;0;1
UK;0;0;0.15;0;0;0;0;1;0;0;0;0;0;1;1;1;1;1;3.96E-01;0;0;0;0;0;0;0;0;0;1
HTTP;0.715;0;0.125;0;0.534;0;0;1;0;0;0;0;0;1;1;1;1;1;1.80E-01;0;0;0;0;1;0;0;0;0;0
HTTP;0.72;0;0.125;0;0.534;0;0;1;0;0;0;0;0;1;1;1;1;1;1.78E-01;0;0;0;0;1;0;0;0;0;0
